Feature,Average Importance
H3K4me3_1e,0.0020429128766069173
H3K27ac_8e,0.0020174684241505174
CTCF_-1e,0.002016005247928597
H3K4me3_4e,0.0019529744802427175
CTCF_-5p,0.0019297912779108611
H3K4me3_-3p,0.0019221709765364094
H3K4me3_-1e,0.0019000718317703257
CTCF_3e,0.0018767808199239484
H3K9me3_2p,0.0018720106310962904
CTCF_-3e,0.0018564837683736105
H3K27me3_-10e,0.0018466561717780988
CTCF_4e,0.0018250752608245096
H3K27me3_6e,0.0018138597993813898
CTCF_-4e,0.0017774988463721054
H3K4me3_-8p,0.0017204720586207508
H3K27me3_10e,0.0017078389538655377
H3K27me3_-8e,0.001703036534788532
H3K27ac_5e,0.0017020798585025353
H3K9me3_9e,0.001698131564256083
H3K27me3_-7e,0.0016914505957410467
CTCF_7p,0.0016841363169951503
CTCF_-8e,0.0016424400990172913
H3K27me3_7e,0.0016394604437838575
H3K27me3_9e,0.0016105583004735506
CTCF_7e,0.0016089580112393495
H3K27me3_-9e,0.0015846314891688354
H3K4me3_10p,0.0015564239826006993
H3K27me3_8e,0.0015353258839025908
H3K27me3_-4e,0.0015311769109520375
CTCF_6e,0.001524853796384789
CTCF_5e,0.0014990690622155725
H3K27ac_-10e,0.0014941843283880205
H3K27me3_5e,0.0014731179536840336
H3K4me3_-5e,0.0014581785287719176
CTCF_-5e,0.001419243522635569
CTCF_8e,0.0013647532791330236
CTCF_-9e,0.001304835806860619
H3K27ac_6e,0.0012702758757792987
H3K4me3_8p,0.0012575011337587272
H3K4me3_2e,0.001247169016980735
CTCF_-6e,0.0011835078314787752
CTCF_-10e,0.001138972136739826
CTCF_-7e,0.00113625858439335
CTCF_9e,0.0011033890135272912
H3K4me3_10e,0.0010943381813021866
H3K4me3_-6e,0.0010790100744729912
H3K27me3_3e,0.0010080968318811195
H3K4me3_-3e,0.0010026149890090524
H3K4me3_5p,0.0009850330046381778
H3K4me3_9p,0.0009802333683717362
H3K27me3_-1e,0.0009768160277919984
H3K9me3_9p,0.0009554155127344126
H3K4me3_-2e,0.0009518659901466316
H3K27me3_-2e,0.0009501915322108819
H3K4me3_-10p,0.0009470780255650318
H3K4me3_4p,0.0009128250014585057
H3K4me3_-6p,0.0009097754277473758
H3K4me3_-4e,0.0008948478533542674
H3K27me3_4e,0.0008646286815858846
H3K4me3_7e,0.0008617595979855516
H3K9me3_3p,0.0008031444642315225
CTCF_10e,0.0007834942649960836
H3K9me3_1e,0.0007819718870535945
H3K9me3_7p,0.0007778466065725728
H3K9me3_5e,0.0007751343650412426
H3K27me3_-3e,0.0007450456597960101
H3K4me3_-5p,0.000734044235468147
H3K4me3_-7p,0.0007333348222402438
H3K9me3_10e,0.0007261926608076555
H3K4me3_-4p,0.0007170966062410336
H3K4me3_6p,0.0007136111389345016
H3K4me3_9e,0.0006952989590006923
H3K4me3_6e,0.0006897566643269518
H3K4me3_7p,0.0006444295462746468
H3K27me3_2e,0.0006269511470350728
H3K9me3_-4p,0.0006142040602342799
H3K9me3_2e,0.0006129590431515695
H3K4me3_-8e,0.0006084044511027145
H3K4me3_-9e,0.0006028788104212073
H3K4me3_5e,0.00059510524398334
H3K4me3_3e,0.0005708801740998798
H3K9me3_7e,0.0005615299479511361
H3K9me3_-5p,0.0005235355739266579
H3K9me3_6e,0.0004574023953907358
H3K4me3_8e,0.00044424859965223933
H3K4me3_-9p,0.0004404711121291213
H3K9me3_-1e,0.00041299055157883855
H3K9me3_8p,0.000399874020575177
H3K9me3_8e,0.00039621853596776886
H3K9me3_-8p,0.0003897885899741715
H3K9me3_-3p,0.0003879473421218202
H3K9me3_-9p,0.0003768664434041916
H3K4me3_-7e,0.00036185215886787504
H3K9me3_-8e,0.0003585982614391248
H3K9me3_-2e,0.00035697446385046496
H3K9me3_6p,0.00035247451112192617
H3K4me3_-10e,0.0003462000634061503
H3K27me3_1e,0.0003343689995110546
H3K9me3_-10e,0.0003124764152729433
H3K9me3_0e,0.0003124626282416363
H3K9me3_3e,0.00028987420632934735
H3K9me3_-9e,0.000284953219466047
H3K9me3_5p,0.0002757663861511409
H3K9me3_4e,0.0002735865503499365
H3K9me3_0p,0.00025544898036639074
H3K9me3_-10p,0.00023514186119051654
H3K9me3_4p,0.0002186676618487292
H3K9me3_-3e,0.00020870125740170725
H3K9me3_1p,0.0001571811404866038
H3K27me3_0e,0.0001556882603412435
H3K9me3_-2p,0.0001529655004199754
H3K9me3_-6e,0.00015199495046829375
H3K9me3_-5e,0.00015031537756558206
H3K9me3_-6p,0.00014901850440835322
H3K9me3_-7e,0.00014393283335459834
H3K9me3_-4e,0.00013122387551601692
H3K9me3_-7p,9.140959633982834e-05
H3K9me3_-1p,4.459674753762948e-05
